City_ID,City,Country,Latitude,Longitude,Date,Max Temperature (C),Humidity,Cloudiness,Wind Speed (km/h)
0,Tiksi,RU,71.6872,128.8694,2021-03-19 07:07:42,-18.92,98,100,3.67
1,New Norfolk,AU,-42.7826,147.0587,2021-03-19 07:05:30,21.11,47,0,1.34
2,Klaksvík,FO,62.2266,-6.589,2021-03-19 07:07:42,7.0,100,75,7.2
3,Korla,CN,41.7597,86.1469,2021-03-19 07:07:42,3.88,72,45,3.78
4,Rikitea,PF,-23.1203,-134.9692,2021-03-19 07:01:32,26.78,78,100,7.49
5,Isangel,VU,-19.55,169.2667,2021-03-19 07:07:43,28.0,69,75,4.12
6,Methóni,GR,36.8197,21.7049,2021-03-19 07:07:43,12.78,94,75,2.06
7,Necochea,AR,-38.5473,-58.7368,2021-03-19 07:07:43,8.89,91,0,4.47
8,Leningradskiy,RU,69.3833,178.4167,2021-03-19 07:07:43,-29.27,90,0,0.57
9,Ilhabela,BR,-23.7781,-45.3581,2021-03-19 07:07:44,23.89,86,40,2.37
10,Barrow,US,71.2906,-156.7887,2021-03-19 07:07:44,-19.0,71,90,3.6
11,Barnstaple,GB,51.0802,-4.0581,2021-03-19 07:07:06,9.44,94,30,2.24
12,Mehamn,NO,71.0357,27.8492,2021-03-19 07:07:44,-8.0,86,100,15.95
13,Nikolskoye,RU,59.7035,30.7861,2021-03-19 07:07:44,-5.56,73,75,4.0
14,Laas,IT,46.6166,10.7002,2021-03-19 07:03:37,-1.0,79,0,3.6
15,Cape Town,ZA,-33.9258,18.4232,2021-03-19 06:59:47,18.0,68,40,9.26
16,Mataura,NZ,-46.1927,168.8643,2021-03-19 07:07:45,13.33,80,45,1.79
17,Ushuaia,AR,-54.8,-68.3,2021-03-19 07:00:10,7.0,70,75,3.09
18,Nicolás Bravo,MX,18.45,-88.9167,2021-03-19 07:07:46,26.11,90,42,0.45
19,Rikitea,PF,-23.1203,-134.9692,2021-03-19 07:01:32,26.78,78,100,7.49
20,Hobart,AU,-42.8794,147.3294,2021-03-19 07:05:42,21.11,46,20,5.14
21,Cabo San Lucas,MX,22.8909,-109.9124,2021-03-19 07:07:46,16.11,56,0,0.45
22,Saint-Pierre,RE,-21.3393,55.4781,2021-03-19 07:07:46,30.0,62,0,10.29
23,Hobart,AU,-42.8794,147.3294,2021-03-19 07:05:42,21.11,46,20,5.14
24,Puerto Ayora,EC,-0.7393,-90.3518,2021-03-19 07:07:47,24.44,95,100,2.1
25,Samarai,PG,-10.6167,150.6667,2021-03-19 07:07:47,29.25,68,10,3.22
26,Sijunjung,ID,-0.6876,100.9537,2021-03-19 07:07:47,31.55,64,85,0.89
27,Hobart,AU,-42.8794,147.3294,2021-03-19 07:05:42,21.11,46,20,5.14
28,Albany,US,42.6001,-73.9662,2021-03-19 07:07:48,-1.11,59,100,7.12
29,Lata,PT,40.1629,-8.3327,2021-03-19 07:07:48,9.44,57,5,4.47
30,Dikson,RU,73.5069,80.5464,2021-03-19 07:07:48,-33.03,93,0,4.67
31,Cape Town,ZA,-33.9258,18.4232,2021-03-19 06:59:47,18.0,68,40,9.26
32,Bambous Virieux,MU,-20.3428,57.7575,2021-03-19 07:07:48,28.89,78,40,6.69
33,Kapaa,US,22.0752,-159.319,2021-03-19 07:07:49,21.0,78,90,9.26
34,Kapaa,US,22.0752,-159.319,2021-03-19 07:07:49,21.0,78,90,9.26
35,Talnakh,RU,69.4865,88.3972,2021-03-19 07:07:49,-24.87,93,100,2.15
36,Punta Gorda,US,26.9298,-82.0454,2021-03-19 07:07:49,22.22,83,90,3.09
37,Rikitea,PF,-23.1203,-134.9692,2021-03-19 07:01:32,26.78,78,100,7.49
38,Tuktoyaktuk,CA,69.4541,-133.0374,2021-03-19 07:07:50,-26.55,100,99,4.11
39,Turochak,RU,52.2576,87.1224,2021-03-19 07:07:50,-0.86,98,12,1.06
40,Atuona,PF,-9.8,-139.0333,2021-03-19 07:07:50,26.91,79,2,5.91
41,Cayenne,GF,4.9333,-52.3333,2021-03-19 07:07:50,25.56,94,99,3.21
42,Puerto Ayora,EC,-0.7393,-90.3518,2021-03-19 07:07:47,24.44,95,100,2.1
43,Rikitea,PF,-23.1203,-134.9692,2021-03-19 07:01:32,26.78,78,100,7.49
44,Sovetskiy,RU,61.3614,63.5842,2021-03-19 07:07:51,-2.93,91,100,1.11
45,Cayenne,GF,4.9333,-52.3333,2021-03-19 07:07:50,25.56,94,99,3.21
46,Baraki Barak,AF,33.9675,68.9486,2021-03-19 07:07:51,14.39,36,0,0.18
47,Lüderitz,NA,-26.6481,15.1594,2021-03-19 07:07:52,19.51,54,14,7.16
48,Ponta Delgada,PT,37.7333,-25.6667,2021-03-19 07:07:52,14.0,82,75,2.57
49,Arantāngi,IN,10.1667,78.9833,2021-03-19 07:07:52,33.27,33,62,3.98
50,Ilulissat,GL,69.2167,-51.1,2021-03-19 07:07:52,-9.0,53,20,8.75
51,Arkadelphia,US,34.1209,-93.0538,2021-03-19 07:07:52,8.0,66,90,3.09
52,Nemuro,JP,43.3236,145.575,2021-03-19 07:07:53,0.0,59,75,4.63
53,Gashua,NG,12.871,11.0482,2021-03-19 07:07:53,29.7,14,21,2.13
54,Punta Arenas,CL,-53.15,-70.9167,2021-03-19 07:07:53,9.0,81,0,3.6
55,Esperance,AU,-33.8667,121.9,2021-03-19 07:07:53,31.0,23,0,1.54
56,Laichow,CN,37.1717,119.9214,2021-03-19 07:07:53,10.8,37,0,3.41
57,Jamestown,US,42.097,-79.2353,2021-03-19 07:07:54,-1.67,50,1,7.53
58,Tateyama,JP,34.9833,139.8667,2021-03-19 07:06:14,17.78,67,75,5.66
59,Hilo,US,19.7297,-155.09,2021-03-19 07:07:55,20.0,83,90,2.57
60,Linqiong,CN,30.4159,103.4609,2021-03-19 07:03:23,18.89,82,40,6.0
61,Faanui,PF,-16.4833,-151.75,2021-03-19 07:07:55,28.0,66,3,2.27
62,Dunedin,NZ,-45.8742,170.5036,2021-03-19 07:07:55,13.89,73,26,0.89
63,Lebu,CL,-37.6167,-73.65,2021-03-19 07:07:55,11.19,89,0,1.67
64,Douglas,US,41.3,-96.167,2021-03-19 07:07:56,2.22,75,1,1.54
65,Avarua,CK,-21.2078,-159.775,2021-03-19 07:07:56,25.0,88,90,1.54
66,Hilo,US,19.7297,-155.09,2021-03-19 07:07:55,20.0,83,90,2.57
67,Puerto Ayora,EC,-0.7393,-90.3518,2021-03-19 07:07:47,24.44,95,100,2.1
68,Dicabisagan,PH,17.0818,122.4157,2021-03-19 07:07:56,26.8,85,100,3.37
69,Busselton,AU,-33.65,115.3333,2021-03-19 07:01:33,33.89,23,100,1.34
70,Kapaa,US,22.0752,-159.319,2021-03-19 07:07:49,21.0,78,90,9.26
71,San Quintín,MX,30.4833,-115.95,2021-03-19 07:07:57,13.15,87,0,4.44
72,Carnarvon,AU,-24.8667,113.6333,2021-03-19 07:07:58,33.0,33,0,6.17
73,Ushuaia,AR,-54.8,-68.3,2021-03-19 07:00:10,7.0,70,75,3.09
74,Bac Lieu,VN,9.285,105.7244,2021-03-19 07:07:28,30.95,57,100,5.23
75,Labuhan,ID,-6.8844,112.2051,2021-03-19 07:07:59,29.75,74,10,5.03
76,Barrow,US,71.2906,-156.7887,2021-03-19 07:07:44,-19.0,71,90,3.6
77,Kaitangata,NZ,-46.2817,169.8464,2021-03-19 07:07:59,14.44,63,75,1.79
78,Nanortalik,GL,60.1432,-45.2371,2021-03-19 07:07:59,-3.98,76,44,1.54
79,Ushuaia,AR,-54.8,-68.3,2021-03-19 07:00:10,7.0,70,75,3.09
80,Tuktoyaktuk,CA,69.4541,-133.0374,2021-03-19 07:07:50,-26.55,100,99,4.11
81,Albany,US,42.6001,-73.9662,2021-03-19 07:07:48,-1.11,59,100,7.12
82,Port Macquarie,AU,-31.4333,152.9167,2021-03-19 07:03:47,22.0,94,75,4.12
83,Jalu,LY,29.0331,21.5482,2021-03-19 07:08:00,18.86,26,100,6.93
84,Barrow,US,71.2906,-156.7887,2021-03-19 07:07:44,-19.0,71,90,3.6
85,Carnarvon,AU,-24.8667,113.6333,2021-03-19 07:07:58,33.0,33,0,6.17
86,Caravelas,BR,-17.7125,-39.2481,2021-03-19 07:08:01,23.5,90,100,1.27
87,Punta Arenas,CL,-53.15,-70.9167,2021-03-19 07:07:53,9.0,81,0,3.6
88,Hithadhoo,MV,-0.6,73.0833,2021-03-19 07:08:01,28.06,73,100,4.6
89,Atuona,PF,-9.8,-139.0333,2021-03-19 07:07:50,26.91,79,2,5.91
90,Punta Arenas,CL,-53.15,-70.9167,2021-03-19 07:07:53,9.0,81,0,3.6
91,Henties Bay,NA,-22.116,14.2845,2021-03-19 07:08:02,17.22,90,65,4.02
92,Pala,TD,9.3642,14.9046,2021-03-19 07:07:03,30.38,40,64,2.72
93,Mana,GF,5.6592,-53.7767,2021-03-19 07:08:03,23.45,83,99,3.28
94,Hilo,US,19.7297,-155.09,2021-03-19 07:07:55,20.0,83,90,2.57
95,Acapulco de Juárez,MX,16.8634,-99.8901,2021-03-19 07:08:04,22.89,79,0,1.8
